Nama Wisata,Deskripsi,Lokasi / Tempat,Fasilitas Yang Tersedia,Aksesibilitas,Jenis Wisata,Kategori,Child Friendly,Alamat,Link Alamat,Harga,Rentang Harga,Rating,latitude,longitude
Pantai Licin,"Pantai Licin terletak di Desa Lebakharjo, Kecamatan Ampelgading, Malang, Jawa Timur. Pantai ini memiliki keunikan dengan pasir hitam berkilauan yang berasal dari sisa letusan Gunung Semeru. Dikelilingi oleh tebing-tebing tinggi dan pepohonan hijau, Pantai Licin menawarkan pemandangan alam yang memukau dan suasana yang tenang. Ombak di pantai ini cukup besar, sehingga pengunjung disarankan untuk berhati-hati saat bermain air. Pantai ini juga dikenal sebagai spot yang bagus untuk melihat sunrise.","Desa Lebakharjo, Ampelgading","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan","makadam, kendaraan roda 2",Pantai,"Family, Solo",Yes,"Area Sawah/Kebun, Lebakharjo, Ampelgading, Kabupaten Malang, East Java 65183","https://www.google.com/maps/place/Pantai+Licin/@-8.3635028,112.9467788,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd60c50d17d84c3:0x6752ab4a271cc35b!8m2!3d-8.3635029!4d112.9467788!16s%2Fg%2F1q61c1pwz?entry=ttu",0,0,4.3,-8.3635028,112.9467788
Pantai Taman Ayu,"Pantai Taman Ayu berlokasi di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini terkenal dengan pasir putihnya yang lembut dan air laut yang jernih, cocok untuk berenang dan bermain air. Dikelilingi oleh perbukitan hijau dan pepohonan kelapa, Pantai Taman Ayu menawarkan suasana yang asri dan menenangkan. Fasilitas yang tersedia di pantai ini cukup lengkap, termasuk area parkir, kamar mandi, dan warung makan. Pantai ini juga merupakan tempat yang ideal untuk menikmati sunset yang indah.","Desa Bandungrejo, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Pantai taman ayu, Area Gn., Sidurejo, Gedangan, Kabupaten Malang, Jawa Timur 65178","https://www.google.com/maps/place/Pantai+Taman+Ayu+%EA%A6%A5%EA%A6%BC%EA%A6%B1%EA%A6%B6%EA%A6%B1%EA%A6%B6%EA%A6%82%EA%A6%A0%EA%A6%A9%EA%A6%A4%EA%A7%80%EA%A6%84%EA%A6%AA%EA%A6%B8/@-8.4074826,112.5730024,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78a9ceab48c64d:0x414df804db996873!8m2!3d-8.4074826!4d112.5730024!16s%2Fg%2F11ls5rxq2n?entry=ttu",20000,3,4.1,-8.4074826,112.5730024
Pantai Balekambang,"Pantai Balekambang terletak di Desa Srigonco, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini sering disebut sebagai Tanah Lot-nya Jawa Timur karena memiliki pura yang berdiri di atas batu karang di tengah laut. Pantai Balekambang terkenal dengan pasir putihnya yang luas dan ombak yang relatif tenang, membuatnya cocok untuk berenang dan bermain air. Fasilitas yang tersedia cukup lengkap, termasuk area parkir, penginapan, dan warung makan. Pantai ini menjadi destinasi favorit untuk wisata keluarga dan religi.","Desa Srigonco, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan, Penyewaan perahu, Banana boatm jet ski, snorkeling","aspal, kendaraan roda 2 dan 4, bus",Pantai,"Family, Solo",Yes,"Jalan Balekambang, Dusun Sumber Jambe, Desa Srigonco, Kecamatan Bantur, Kabupaten Malang, Jawa Timur","https://www.google.com/maps/place/Balekambang+Beach/@-8.403571,112.5393711,16z/data=!3m1!4b1!4m6!3m5!1s0x2e78a9458651084f:0x6b8da077d5b83e2f!8m2!3d-8.4034458!4d112.5391259!16s%2Fg%2F122kcmqv?entry=ttu",20000,3,4.5,-8.4035710,112.5393711
Pantai Regent,"Pantai Regent berada di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini menawarkan pemandangan alam yang menawan dengan pasir putih dan air laut yang biru kehijauan. Ombak di Pantai Regent cukup besar, cocok untuk para penggemar surfing. Pantai ini juga dikelilingi oleh perbukitan yang menambah keindahan panoramanya. Fasilitas yang tersedia di pantai ini meliputi area parkir, toilet, dan warung makan.","Desa Srigonco, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan","aspal, kendaraan roda 2 dan 4, bus",Pantai,"Family, Solo",Yes,"Jl. Balekambang, Balaikambang, Srigonco, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179","https://www.google.com/maps/place/Pantai+Regent/@-8.4034263,112.5452049,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78a943005e0197:0x66aafa19418869e3!8m2!3d-8.4034265!4d112.5452049!16s%2Fg%2F11cmyb0f_8?entry=ttu",15000,2,4.5,-8.4034263,112.5452049
Pantai Kondang Merak,"Pantai Kondang Merak terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini dinamai demikian karena dahulu sering dijumpai burung merak di sekitar area pantai. Pantai ini memiliki pasir putih yang bersih dan air laut yang jernih, ideal untuk snorkeling dan berenang. Kondang Merak juga terkenal dengan keanekaragaman hayati lautnya, termasuk terumbu karang yang indah. Fasilitas di pantai ini cukup memadai, termasuk area parkir dan warung makan.","Desa Sumberbening, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Desa Sumberbening, Kecamatan Bantur, Kabupaten Malang, Jawa Timur.","https://www.google.com/maps/place/Kondang+Merak+Beach/@-8.3965752,112.5190735,18z/data=!3m1!4b1!4m6!3m5!1s0x2e78aeca035ea4b3:0x11be932acd81fb13!8m2!3d-8.3964985!4d112.5192315!16s%2Fg%2F1hh_qxb_l?entry=ttu",10000,2,4.4,-8.3965752,112.5190735
Pantai Banyu Meneng,"Pantai Banyu Meneng berada di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Nama ""Banyu Meneng"" berasal dari bahasa Jawa yang berarti ""air tenang,"" sesuai dengan kondisi ombaknya yang relatif tenang. Pantai ini memiliki pasir putih yang lembut dan air laut yang jernih, cocok untuk berenang dan bermain air. Dikelilingi oleh hutan bakau dan pepohonan hijau, Pantai Banyu Meneng menawarkan suasana yang asri dan nyaman. Fasilitas yang tersedia meliputi area parkir dan warung makan.","Desa Sumberbening, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area camping, Penginapan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Kandangmerak, Sumberbening, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Banyu+Meneng/@-8.3963397,112.4975333,14z/data=!4m10!1m2!2m1!1sKondang+banyu+meneng!3m6!1s0x2e78aec8363b2453:0x9659fddc3561977b!8m2!3d-8.3963397!4d112.5150428!15sChRLb25kYW5nIGJhbnl1IG1lbmVuZ1oWIhRrb25kYW5nIGJhbnl1IG1lbmVuZ5IBBWJlYWNomgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsWjNWcVpUWm5SUkFC4AEA!16s%2Fg%2F11cl_k3rb9?entry=ttu",15000,2,4.4,-8.3963397,112.4975333
Pantai Jembatan Panjang,"Pantai Jembatan Panjang terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini dikenal dengan jembatan alami yang terbentuk dari batu karang, menghubungkan pantai dengan pulau kecil di seberangnya. Pasir putih yang lembut dan air laut yang jernih membuat pantai ini cocok untuk berenang dan bermain air. Pemandangan sekitar pantai yang hijau dan alami menambah daya tarik wisatawan. Fasilitas yang tersedia cukup memadai, termasuk area parkir dan warung makan.","Desa Sumberbening, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Jembatan kayu","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Area Sawah/Kebun, Sumberbening, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Jembatan+Panjang/@-8.4022608,112.5301822,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78a94c0340c471:0x2c2673e3a05b80e6!8m2!3d-8.4022608!4d112.5301822!16s%2Fg%2F11cjj0hz4h?entry=ttu",5000,1,4.3,-8.4022608,112.5301822
Pantai Ndaliputih,"Pantai Ndaliputih berlokasi di Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Malang, Jawa Timur. Pantai ini memiliki pasir putih yang halus dan air laut yang berwarna biru kehijauan, menciptakan pemandangan yang sangat mempesona. Pantai ini masih relatif sepi pengunjung, sehingga cocok bagi mereka yang mencari ketenangan dan keindahan alam yang asli. Ombak di pantai ini cukup tenang, membuatnya ideal untuk berenang dan snorkeling. Fasilitas di Pantai Ndaliputih meliputi area parkir dan warung makan.","Desa Sumberbening, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Area bermain, Penginapan","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Area Sawah/Kebun, Sumberbening, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Dali+Putih/@-8.4025576,112.5231438,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78aeb35da45a4b:0xf5023b1876b05202!8m2!3d-8.4025578!4d112.5231438!16s%2Fg%2F11clk_8yqj?entry=ttu",0,0,4.4,-8.4025577,112.5231438
Pantai Selok,"Pantai Selok terletak di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini dikenal dengan suasana yang tenang dan alami, dikelilingi oleh tebing-tebing tinggi dan pepohonan hijau. Pasir putih yang lembut dan air laut yang jernih menjadikan pantai ini tempat yang ideal untuk bersantai dan menikmati keindahan alam. Fasilitas yang tersedia di Pantai Selok meliputi area parkir, toilet, dan warung makan. Pantai ini juga menawarkan pemandangan sunset yang sangat indah.","Desa Sumberbening, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan, Surfing","makadam, kendaraan roda 2 dan 4",Pantai,"Family, Solo",Yes,"Kandangmerak, Sumberbening, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Selok/@-8.3971303,112.5140475,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78aec818a24fdd:0x47cca9ac14dc03c0!8m2!3d-8.3971305!4d112.5140475!16s%2Fg%2F11clyt5_7_?entry=ttu",12000,2,4.3,-8.3971303,112.5140475
Pantai Mbehi,"Pantai Mbehi berada di Desa Sumberbening, Kecamatan Bantur, Malang, Jawa Timur. Pantai ini memiliki keunikan dengan adanya sebuah lubang besar di batu karang yang dikenal sebagai Teluk Bidadari. Pasir putih yang lembut dan air laut yang jernih membuat pantai ini sangat menarik bagi para wisatawan. Ombak di Pantai Mbehi cukup besar, sehingga pengunjung disarankan untuk berhati-hati saat bermain air. Fasilitas di pantai ini termasuk area parkir dan warung makan.","Desa Bandungrejo, Bantur","Tempat parkir, Warung makan, Toilet, Mushola, Penginapan Area camping","makadam, roda 2 dan 4",Pantai,"Family, Solo",Yes,"Sumber Rejo, Bandungrejo, Bantur, Kabupaten Malang, East Java 65179","https://www.google.com/maps/place/Pantai+Mbehi/@-8.4022356,112.5043082,15z/data=!3m1!4b1!4m6!3m5!1s0x2e78aebe8de7c39f:0x952f7708d5e2ddd2!8m2!3d-8.4022358!4d112.5043082!16s%2Fg%2F11cmzgsnwy?entry=ttu",100000,7,4.5,-8.4022356,112.5043082
